threshold,tp,fp,tn,fn,precision,recall,f1,false_positive_rate,specificity,flagged_rate,cost,normalized_cost
0.05,93,7005,49859,5,0.013102282333051564,0.9489795918367347,0.02584769316286826,0.12318866066404052,0.8768113393359594,0.12460938871528388,7055.0,0.12385449949088866
0.1,90,1954,54910,8,0.04403131115459882,0.9183673469387755,0.08403361344537814,0.03436268992684299,0.965637310073157,0.03588357150380956,2034.0,0.03570801587022927
0.15,88,819,56045,10,0.0970231532524807,0.8979591836734694,0.17512437810945275,0.014402785593697242,0.9855972144063028,0.01592289596573154,919.0,0.016133562726027877
0.2,88,409,56455,10,0.17706237424547283,0.8979591836734694,0.2957983193277311,0.00719259988745076,0.9928074001125492,0.008725114988939995,509.0,0.008935781749236333
0.25,88,263,56601,10,0.25071225071225073,0.8979591836734694,0.39198218262806245,0.004625070343275183,0.9953749296567248,0.0061620027386678836,363.0,0.006372669498964222
0.3,87,160,56704,11,0.3522267206477733,0.8877551020408163,0.5043478260869566,0.0028137310073157004,0.9971862689926843,0.004336224149432955,270.0,0.004740002106667603
0.35,87,102,56762,11,0.4603174603174603,0.8877551020408163,0.6062717770034843,0.0017937535171637592,0.9982062464828363,0.003318001474667322,212.0,0.0037217794319019696
0.4,85,71,56793,13,0.5448717948717948,0.8673469387755102,0.6692913385826772,0.0012485931344963421,0.9987514068655037,0.002738667883852393,201.0,0.00352866823496366
0.45,85,52,56812,13,0.6204379562043796,0.8673469387755102,0.723404255319149,0.0009144625773776027,0.9990855374226224,0.002405112180049858,182.0,0.003195112531161125
0.5,84,40,56824,14,0.6774193548387096,0.8571428571428571,0.7567567567567567,0.0007034327518289251,0.9992965672481711,0.002176889856395492,180.0,0.0031600014044450685
0.55,80,28,56836,18,0.7407407407407407,0.8163265306122449,0.7766990291262137,0.0004924029262802476,0.9995075970737197,0.001896000842667041,208.0,0.003651557178469857
0.6,78,21,56843,20,0.7878787878787878,0.7959183673469388,0.7918781725888324,0.0003693021947101857,0.9996306978052898,0.0017380007724447878,221.0,0.003879779502124223
0.65,77,15,56849,21,0.8369565217391305,0.7857142857142857,0.8105263157894738,0.00026378728193584693,0.9997362127180641,0.0016151118289385905,225.0,0.003950001755556336
0.7,76,15,56849,22,0.8351648351648352,0.7755102040816326,0.8042328042328042,0.00026378728193584693,0.9997362127180641,0.0015975562655805625,235.0,0.004125557389136617
0.75,75,14,56850,23,0.8426966292134831,0.7653061224489796,0.8021390374331551,0.0002462014631401238,0.9997537985368599,0.0015624451388645062,244.0,0.004283557459358871
0.8,75,13,56851,23,0.8522727272727273,0.7653061224489796,0.8064516129032258,0.00022861564434440066,0.9997713843556556,0.001544889575506478,243.0,0.004266001896000842
0.85,69,12,56852,29,0.8518518518518519,0.7040816326530612,0.770949720670391,0.00021102982554867754,0.9997889701744513,0.001422000632000281,302.0,0.005301780134124504
0.9,67,12,56852,31,0.8481012658227848,0.6836734693877551,0.7570621468926553,0.00021102982554867754,0.9997889701744513,0.0013868895052842245,322.0,0.005652891401285067
0.95,61,10,56854,37,0.8591549295774648,0.6224489795918368,0.7218934911242604,0.00017585818795723128,0.9998241418120428,0.0012464449984199992,380.0,0.0066711140760507
